supplier_name,address,country,state,city,postal_code,owner_company
HOP LUN (HK) LTD,"VIA DON PEDRINELLI, 96-24030 CARVICO(BG) ITALY, 24030, BERGAMO",Italy,Bergamo,Carvico,24030.0,H&M
HOP LUN (HK) LTD,"NO.68 XI'ERHUAN ROAD, SHENGZE TOWN,WUJIANG DISTRICT, 215228, SUZHOU",China,Jiangsu,Suzhou,215228.0,H&M
HOP LUN (HK) LTD,"HANGMIN VILLAGE, XIAOSHAN, HANGZHOU, ZHEJIANG,CHINA, 310000, HANGZHOU",China,Zhejiang,,310000.0,H&M
HOP LUN (HK) LTD,"NO.213, LIAN GUANG ROAD,EASTERN SECTION, ECONOMIC & TECHNOLOGICAL DEVELOPMENT, DISTRICT, 510760, GUANGZHOU",China,Guangdong,Guangzhou,510760.0,H&M
HOP LUN (HK) LTD,"8&10 HUAFA ROAD, RONGGUI HT INDUSTRIAL, DEVELOPMENT ZONE,SHUN DE, 528306, FOSHAN",China,Guangdong,Foshan,528306.0,H&M
HOP LUN (HK) LTD,"KP. CIBEUNYING RT18/RW. 08 , DESA WANTILAN, KECAMATAN CIPEUNDEUY, 41262, KABUPATEN SUBANG",,,,41262.0,H&M
HOP LUN (HK) LTD,"FENGLIN INDUSTRIAL ZONE, , LONGHU TOWN,JINJIANG CITY, FUJIAN CHINA, 362241, JINJIANG",China,Fujian,,362241.0,H&M
HOP LUN (HK) LTD,"TEXTILE INDUSTRIAL PARK SEC 40, YONGAN TOWN DINGHU DISTRICT, 526071, ZHAO QING",China,Guangdong,Zhaoqing,526071.0,H&M
HOP LUN (HK) LTD,"FLOOR 3, BUILDING A, , NO. 3 SHAZAI AVENUE, , ZHONGSHAN , GUANGDONG, CHINA, 000000, GUANGDONG",China,Guangdong,,0.0,H&M
HOP LUN (HK) LTD,"ROOM 303, BUILDING 2, NO. 2, ZHENXING ROAD, JUQI TOWN, HUMEN TOWN, 523927, DONGGUAN",China,Guangdong,Dongguan,523927.0,H&M
HOP LUN (HK) LTD,"BUILDING10#&11#,HONGJIA RD, , CHENGTOU TOWN, FUQING,, FUJIAN, CHINA, 350314, FUJIAN",China,Fujian,,350314.0,H&M
HOP LUN (HK) LTD,"03, DHAKA MYMENSINGH ROAD,, ST TOWER, EAST GAZIPURA, TONGI,, GAZIPUR, BANGLADESH, GAZIPUR-1712, EAST GAZIPURA, TONGI,",Bangladesh,Dhaka,Dhaka,1712.0,H&M
HOP LUN (HK) LTD,"115/181/188 AFS TOWER, BAIPAL, SAVAR,DHAKA, ASULIA, BANGLADESH, 1349, DHAKA",Bangladesh,Dhaka,Dhaka,1349.0,H&M
